,"WOR marine sediment",,,,"CLB marine sediment",
,"Core 30",,"Core 32",,"Incubation 2","Incubation 3"
Clade,FRAxC,qPCR,FRAxC,qPCR,FRAxC,FRAxC
"Bathyarchaeota, or MCG",10.1,10.3,8.9,10,6.4,6.3
"Group C3, MCG-related",16.2,,14.9,,2.1,1.8
"Thermoprofundales (MBG-D)",4.6,,3.4,4.8,3.4,4.4
"Thermoprofundales (MG-III)",3.7,,2.8,,1.4,1.5
"Thermoprofundales (20a-9)",7.1,,3.7,,0.8,0.7
